Date,FXTWBDI
3/31/1973,27.1461
4/30/1973,27.3374
5/31/1973,27.1878
6/30/1973,26.7725
7/31/1973,26.3869
8/31/1973,26.6781
9/30/1973,26.7415
10/31/1973,26.6379
11/30/1973,27.3773
12/31/1973,27.7205
1/31/1974,28.4859
2/28/1974,28.1033
3/31/1974,27.6816
4/30/1974,27.4135
5/31/1974,27.2436
6/30/1974,27.5104
7/31/1974,27.7256
8/31/1974,28.0935
9/30/1974,28.2486
10/31/1974,28.1869
11/30/1974,28.1320
12/31/1974,28.1214
1/31/1975,28.1246
2/28/1975,27.9117
3/31/1975,27.8758
4/30/1975,28.2397
5/31/1975,28.3277
6/30/1975,28.5075
7/31/1975,29.1623
8/31/1975,29.6759
9/30/1975,29.9350
10/31/1975,30.0038
11/30/1975,29.9841
12/31/1975,30.2006
1/31/1976,30.1736
2/29/1976,30.1523
3/31/1976,30.3633
4/30/1976,30.5808
5/31/1976,30.6599
6/30/1976,30.7338
7/31/1976,30.6340
8/31/1976,30.6473
9/30/1976,31.2425
10/31/1976,31.3750
11/30/1976,31.8399
12/31/1976,31.9292
1/31/1977,31.8698
2/28/1977,32.0895
3/31/1977,32.2102
4/30/1977,32.1247
5/31/1977,32.1650
6/30/1977,32.2002
7/31/1977,32.0200
8/31/1977,32.2554
9/30/1977,32.3414
10/31/1977,32.1600
11/30/1977,32.0244
12/31/1977,31.6240
1/31/1978,31.4265
2/28/1978,31.4404
3/31/1978,31.2824
4/30/1978,31.2740
5/31/1978,31.5078
6/30/1978,31.1561
7/31/1978,30.6049
8/31/1978,30.1503
9/30/1978,30.2507
10/31/1978,29.7640
11/30/1978,30.3359
12/31/1978,30.4539
1/31/1979,30.4507
2/28/1979,30.6422
3/31/1979,30.7202
4/30/1979,30.9744
5/31/1979,31.2296
6/30/1979,31.2522
7/31/1979,30.8068
8/31/1979,30.9431
9/30/1979,30.9932
10/31/1979,31.3542
11/30/1979,31.7575
12/31/1979,31.5537
1/31/1980,31.5316
2/29/1980,31.7839
3/31/1980,32.6200
4/30/1980,32.8956
5/31/1980,31.8808
6/30/1980,31.4193
7/31/1980,31.4253
8/31/1980,31.7885
9/30/1980,31.6172
10/31/1980,31.7864
11/30/1980,32.4312
12/31/1980,32.7795
1/31/1981,32.7564
2/28/1981,33.6647
3/31/1981,33.8387
4/30/1981,34.5191
5/31/1981,35.4809
6/30/1981,36.2824
7/31/1981,37.0116
8/31/1981,37.6334
9/30/1981,37.0442
10/31/1981,36.9502
11/30/1981,36.5512
12/31/1981,36.6767
1/31/1982,37.2915
2/28/1982,38.6168
3/31/1982,40.0416
4/30/1982,40.5326
5/31/1982,40.1619
6/30/1982,41.7734
7/31/1982,42.5632
8/31/1982,44.0168
9/30/1982,44.6510
10/31/1982,44.7493
11/30/1982,44.9461
12/31/1982,44.3418
1/31/1983,44.4700
2/28/1983,45.2135
3/31/1983,45.9191
4/30/1983,46.4789
5/31/1983,46.6420
6/30/1983,47.5769
7/31/1983,48.0798
8/31/1983,49.0218
9/30/1983,49.3166
10/31/1983,49.1603
11/30/1983,49.9217
12/31/1983,50.7275
1/31/1984,51.3315
2/29/1984,51.2061
3/31/1984,51.0535
4/30/1984,51.7183
5/31/1984,52.9199
6/30/1984,53.5858
7/31/1984,55.2251
8/31/1984,55.5223
9/30/1984,56.9345
10/31/1984,57.8579
11/30/1984,57.7734
12/31/1984,59.0432
1/31/1985,60.2498
2/28/1985,62.0299
3/31/1985,62.6927
4/30/1985,61.4382
5/31/1985,61.9645
6/30/1985,61.8996
7/31/1985,60.9330
8/31/1985,61.0563
9/30/1985,61.7893
10/31/1985,59.8051
11/30/1985,59.3561
12/31/1985,59.5001
1/31/1986,59.5705
2/28/1986,58.4430
3/31/1986,57.9379
4/30/1986,57.7782
5/31/1986,57.0707
6/30/1986,57.5697
7/31/1986,56.8645
8/31/1986,56.4982
9/30/1986,56.8131
10/31/1986,57.1086
11/30/1986,57.9537
12/31/1986,58.1416
1/31/1987,56.8145
2/28/1987,56.5560
3/31/1987,56.5125
4/30/1987,55.8010
5/31/1987,55.8987
6/30/1987,56.8675
7/31/1987,57.7814
8/31/1987,57.8073
9/30/1987,57.1971
10/31/1987,57.3691
11/30/1987,56.0095
12/31/1987,55.4227
1/31/1988,55.7823
2/29/1988,56.4335
3/31/1988,55.9492
4/30/1988,55.6546
5/31/1988,56.0366
6/30/1988,56.9398
7/31/1988,58.3909
8/31/1988,59.2220
9/30/1988,59.4956
10/31/1988,58.5462
11/30/1988,57.5641
12/31/1988,57.6463
1/31/1989,58.8673
2/28/1989,59.1977
3/31/1989,60.1818
4/30/1989,60.7379
5/31/1989,62.3075
6/30/1989,63.8003
7/31/1989,63.2983
8/31/1989,63.9280
9/30/1989,64.9645
10/31/1989,64.4618
11/30/1989,64.7943
12/31/1989,64.8801
1/31/1990,65.2869
2/28/1990,66.1879
3/31/1990,67.7640
4/30/1990,68.1042
5/31/1990,67.7392
6/30/1990,67.9757
7/31/1990,66.9314
8/31/1990,65.9052
9/30/1990,65.5218
10/31/1990,64.4507
11/30/1990,64.5090
12/31/1990,65.6037
1/31/1991,65.8900
2/28/1991,65.5421
3/31/1991,67.9982
4/30/1991,69.0961
5/31/1991,69.5669
6/30/1991,70.6303
7/31/1991,70.8110
8/31/1991,70.2779
9/30/1991,69.5824
10/31/1991,69.4747
11/30/1991,68.8844
12/31/1991,68.5179
1/31/1992,68.7701
2/29/1992,69.9191
3/31/1992,71.4185
4/30/1992,71.4206
5/31/1992,71.1032
6/30/1992,70.3217
7/31/1992,69.3966
8/31/1992,69.1534
9/30/1992,69.8129
10/31/1992,71.4590
11/30/1992,73.8778
12/31/1992,74.3782
1/31/1993,75.4316
2/28/1993,75.8759
3/31/1993,75.6647
4/30/1993,74.7550
5/31/1993,75.0323
6/30/1993,75.8120
7/31/1993,76.9967
8/31/1993,77.2073
9/30/1993,77.2887
10/31/1993,78.1658
11/30/1993,79.2584
12/31/1993,79.9361
1/31/1994,81.9806
2/28/1994,82.0620
3/31/1994,82.6208
4/30/1994,83.2510
5/31/1994,83.2652
6/30/1994,83.2283
7/31/1994,82.2735
8/31/1994,82.2333
9/30/1994,81.4699
10/31/1994,80.9927
11/30/1994,81.3965
12/31/1994,83.4670
1/31/1995,85.8253
2/28/1995,85.4360
3/31/1995,84.8004
4/30/1995,82.3387
5/31/1995,82.2584
6/30/1995,82.5265
7/31/1995,82.5078
8/31/1995,84.4627
9/30/1995,85.6727
10/31/1995,85.5807
11/30/1995,86.8467
12/31/1995,87.5988
1/31/1996,88.3185
2/29/1996,88.5200
3/31/1996,88.5167
4/30/1996,88.7860
5/31/1996,89.2877
6/30/1996,89.6896
7/31/1996,89.5819
8/31/1996,89.1762
9/30/1996,89.6331
10/31/1996,90.0393
11/30/1996,89.6550
12/31/1996,90.6520
1/31/1997,91.5269
2/28/1997,93.2512
3/31/1997,94.0187
4/30/1997,94.7587
5/31/1997,93.8091
6/30/1997,93.5546
7/31/1997,94.4769
8/31/1997,96.1728
9/30/1997,96.5385
10/31/1997,96.9560
11/30/1997,98.6245
12/31/1997,102.2310
1/31/1998,105.1038
2/28/1998,104.0776
3/31/1998,103.8506
4/30/1998,103.7603
5/31/1998,104.5376
6/30/1998,106.7315
7/31/1998,107.0722
8/31/1998,108.9952
9/30/1998,107.8864
10/31/1998,105.2264
11/30/1998,105.3305
12/31/1998,104.6001
1/31/1999,104.7240
2/28/1999,106.0406
3/31/1999,107.2651
4/30/1999,106.6133
5/31/1999,106.4256
6/30/1999,107.0573
7/31/1999,107.1989
8/31/1999,106.2463
9/30/1999,105.5727
10/31/1999,105.1655
11/30/1999,105.4119
12/31/1999,105.4915
1/31/2000,105.2406
2/29/2000,106.5548
3/31/2000,106.5845
4/30/2000,107.2299
5/31/2000,109.6804
6/30/2000,108.5729
7/31/2000,108.7205
8/31/2000,109.4996
9/30/2000,110.8176
10/31/2000,112.4624
11/30/2000,113.4048
12/31/2000,112.3249
1/31/2001,112.1425
2/28/2001,112.8649
3/31/2001,114.6890
4/30/2001,115.4385
5/31/2001,115.2588
6/30/2001,115.9473
7/31/2001,116.3330
8/31/2001,114.5411
9/30/2001,114.9440
10/31/2001,115.6559
11/30/2001,116.1748
12/31/2001,116.2321
1/31/2002,117.5814
2/28/2002,118.2322
3/31/2002,117.5449
4/30/2002,117.1734
5/31/2002,115.7598
6/30/2002,114.5036
7/31/2002,112.9253
8/31/2002,114.2620
9/30/2002,115.0741
10/31/2002,115.9185
11/30/2002,114.7414
12/31/2002,114.0940
1/31/2003,112.7789
2/28/2003,112.5997
3/31/2003,112.0789
4/30/2003,111.1299
5/31/2003,107.2115
6/30/2003,106.6124
7/31/2003,107.7695
8/31/2003,109.1304
9/30/2003,107.9490
10/31/2003,105.6339
11/30/2003,105.4734
12/31/2003,103.9806
1/31/2004,102.1976
2/29/2004,102.6578
3/31/2004,103.7508
4/30/2004,104.6152
5/31/2004,106.3226
6/30/2004,105.2344
7/31/2004,104.4112
8/31/2004,104.5459
9/30/2004,104.1587
10/31/2004,102.5448
11/30/2004,99.7651
12/31/2004,98.6694
1/31/2005,99.2915
2/28/2005,99.5192
3/31/2005,98.8986
4/30/2005,99.8060
5/31/2005,100.3656
6/30/2005,101.3319
7/31/2005,101.7665
8/31/2005,100.4173
9/30/2005,100.2415
10/31/2005,101.2591
11/30/2005,102.0320
12/31/2005,101.3296
1/31/2006,100.0000
2/28/2006,100.2112
3/31/2006,100.4281
4/30/2006,99.7435
5/31/2006,97.5118
6/30/2006,98.6927
7/31/2006,98.4387
8/31/2006,97.7138
9/30/2006,97.9814
10/31/2006,98.3156
11/30/2006,97.5133
12/31/2006,96.7951
1/31/2007,97.8338
2/28/2007,97.4764
3/31/2007,97.0118
4/30/2007,95.6322
5/31/2007,94.7225
6/30/2007,94.4449
7/31/2007,93.2059
8/31/2007,93.7603
9/30/2007,92.4366
10/31/2007,90.4002
11/30/2007,89.0530
12/31/2007,90.0050
1/31/2008,89.3971
2/29/2008,88.6434
3/31/2008,86.8399
4/30/2008,86.5475
5/31/2008,86.8245
6/30/2008,87.0728
7/31/2008,86.4538
8/31/2008,88.9450
9/30/2008,91.2651
10/31/2008,98.0400
11/30/2008,100.7667
12/31/2008,99.6622
1/31/2009,100.3521
2/28/2009,102.9737
3/31/2009,103.4397
4/30/2009,100.7162
5/31/2009,97.5519
6/30/2009,96.0426
7/31/2009,95.6605
8/31/2009,94.3730
9/30/2009,93.6638
10/31/2009,92.2598
11/30/2009,91.7996
12/31/2009,92.2586
1/31/2010,92.4403
2/28/2010,93.8867
3/31/2010,93.1499
4/30/2010,92.6391
5/31/2010,95.5306
6/30/2010,96.0606
7/31/2010,94.4547
8/31/2010,93.6822
9/30/2010,92.7626
10/31/2010,90.2291
11/30/2010,90.5095
12/31/2010,91.1835
1/31/2011,90.1112
2/28/2011,89.3967
3/31/2011,88.4872
4/30/2011,86.9214
5/31/2011,86.9464
6/30/2011,86.9412
7/31/2011,86.3178
8/31/2011,86.8983
9/30/2011,89.7253
10/31/2011,90.6098
11/30/2011,91.2649
12/31/2011,92.2056
1/31/2012,91.6463
2/29/2012,89.9605
3/31/2012,90.5112
4/30/2012,90.8156
5/31/2012,92.4928
6/30/2012,93.8809
7/31/2012,93.4062
8/31/2012,92.5283
9/30/2012,90.9802
10/31/2012,90.7566
11/30/2012,91.4751
12/31/2012,90.8804
1/31/2013,90.8255
2/28/2013,91.5509
3/31/2013,92.4132
4/30/2013,92.0478
5/31/2013,92.5290
6/30/2013,93.2836
7/31/2013,93.8724
8/31/2013,93.7149
9/30/2013,93.4706
10/31/2013,92.4993
11/30/2013,93.3737
12/31/2013,93.5340
1/31/2014,94.4648
2/28/2014,94.6456
3/31/2014,94.4408
4/30/2014,93.9956
5/31/2014,93.6700
6/30/2014,93.8274
7/31/2014,93.6039
8/31/2014,94.5808
9/30/2014,96.1209
10/31/2014,97.4396
11/30/2014,99.1147
12/31/2014,101.4441
1/31/2015,103.7607
2/28/2015,105.1685
3/31/2015,107.3647
4/30/2015,106.3523
5/31/2015,105.4065
6/30/2015,106.1790
7/31/2015,108.1236
8/31/2015,109.9768
9/30/2015,110.8513
10/31/2015,109.9036
11/30/2015,111.6916
12/31/2015,112.7857
1/31/2016,115.2344
2/29/2016,114.2817
3/31/2016,111.8934
4/30/2016,110.0171
5/31/2016,111.1405
6/30/2016,111.5596
7/31/2016,112.4773
8/31/2016,111.4384
9/30/2016,112.3169
10/31/2016,113.4747
11/30/2016,116.1075
12/31/2016,117.9048
1/31/2017,117.7858
2/28/2017,116.1204
3/31/2017,115.6558
4/30/2017,114.7698
5/31/2017,114.2591
6/30/2017,112.7603
7/31/2017,111.0606
8/31/2017,109.9059
9/30/2017,108.8542
10/31/2017,110.8892
11/30/2017,111.1635
12/31/2017,110.8758
1/31/2018,108.3567
2/28/2018,107.6500
3/31/2018,107.9473
4/30/2018,107.9428
5/31/2018,111.0460
6/30/2018,112.8435
7/31/2018,113.0594
8/31/2018,113.8309
9/30/2018,114.0783
10/31/2018,114.8301
11/30/2018,116.1678
12/31/2018,116.2111
1/31/2019,114.4403
2/28/2019,114.4106
3/31/2019,114.7823
4/30/2019,114.9024
5/31/2019,115.9570
6/30/2019,115.4279
7/31/2019,115.0785
8/31/2019,117.1020
9/30/2019,117.3256
10/31/2019,116.7479
11/30/2019,116.5605
12/31/2019,115.9107
1/31/2020,115.2786
2/29/2020,116.7095
3/31/2020,121.0285
4/30/2020,123.2894
5/31/2020,122.6238
6/30/2020,119.6845
7/31/2020,118.7004
8/31/2020,116.9576
9/30/2020,116.3534
10/31/2020,115.7882
11/30/2020,114.1033
12/31/2020,111.9051
1/31/2021,111.4953
2/28/2021,112.0275
3/31/2021,113.3497
4/30/2021,112.6426
5/31/2021,111.2252
6/30/2021,111.5888
7/31/2021,113.0721
8/31/2021,113.4124
9/30/2021,113.4532
10/31/2021,114.0758
11/30/2021,115.0036
12/31/2021,115.8172
1/31/2022,115.0507
2/28/2022,115.0057
3/31/2022,116.2984
4/30/2022,117.1702
5/31/2022,119.6926
6/30/2022,120.0269
7/31/2022,122.7609
8/31/2022,122.3262
9/30/2022,125.5999
10/31/2022,127.4828
11/30/2022,124.8627
12/31/2022,122.2476
1/31/2023,119.8133
2/28/2023,120.3366
3/31/2023,120.8071
4/30/2023,119.3744
5/31/2023,119.7956
6/30/2023,119.5789
7/31/2023,118.4119
8/31/2023,120.2177
9/30/2023,121.9827
10/31/2023,123.7914
11/30/2023,121.5369
12/31/2023,120.1585
1/31/2024,120.5769
2/29/2024,121.4155
3/31/2024,121.0413
4/30/2024,122.5142
5/31/2024,122.2444
6/30/2024,124.0309
7/31/2024,123.7208
8/31/2024,122.8802
9/30/2024,122.1296
10/31/2024,123.8310
11/30/2024,126.5329
12/31/2024,127.8140
1/31/2025,129.0413
2/28/2025,128.0665
